1,Havyaka party,2014/6/25,This event is a celebration of the Havyaka Community,1,public,6,1,1,1,1
2,Community Lunch,2014/6/25,Join together to eat lunch!,1,public,1,1,2,1,1
3,Holi,2014/6/25,celebrate the color,1,private,10,8,3,1,1
4,Dinner party,2014/6/25,Community dinner party,1,public,4,2,4,1,1
5,Birthday party,2014/6/25,It is my daughters birthday party,1,private,2,2,4,1,1
6,Birthday Party,2014/6/25,Please join us to celebrate our daughter bday party,1,public,2,3,5,1,1
7,Potluck party,2014/6/25,Get your food and share your food,1,private,8,3,7,1,1
8,party,2014/6/25,private party,1,private,6,3,1,1,1
9,cultural meet,2014/6/25,all are welcome,1,public,5,3,8,1,1
10,dance program,2014/6/25,dance till night,1,public,3,1,1,1,1
11,prayer together,2014/6/25,prayer to god,1,public,5,6,8,1,1
12,Deepavali,2014/6/25,Find and Celebrate the inner light,1,public,10,4,1,1,1
13,Rangoli compition,2014/6/25,Show off your art skill,1,public,11,4,9,1,1
14,Ganesh festival,2014/6/25,Ganesha pooja and food and cultural program,1,public,10,7,9,1,1
15,Picnic in the park,2014/6/25,Enjoy the lovely weather while chat with your friends,1,private,6,5,7,1,1
16,Ugadi celebration,2014/6/25,Celebrate hindu new year,1,public,10,7,9,1,1
